epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1score,val_f1score,LR
1,1.556986432536384,1.340426205879166,38.52230483271376,52.87099179716629,0.3404003629521399,0.4849111481500041,0.0001
2,1.1815335278617405,1.2137741049130757,52.36988847583643,52.64727815063385,0.4911858215217421,0.47779987120124867,0.0001
3,1.0381383908891766,1.1452923910248847,58.921933085501855,58.090976882923194,0.573549132719276,0.5694450176637719,0.0001
4,0.9564081089204128,1.0963536884103502,60.8271375464684,58.165548098434,0.5807745670321063,0.5578813263053017,0.0001
5,0.9080774632029817,1.1753470294532322,64.54460966542752,53.02013422818792,0.6180893741392935,0.509012241767347,0.0001
6,0.8483546607777975,1.061838128559646,67.37918215613382,62.04325130499627,0.6442358305707434,0.6108547544111318,0.0001
7,0.7871599338782542,1.020451934032497,69.42379182156134,62.56524981357196,0.6667726244573273,0.5815633526186994,0.0001
8,0.7596687029174712,0.9741107686644509,71.05018587360595,63.385533184190905,0.6847618092671881,0.5964913142775259,0.0001
9,0.7007385800042117,1.0048347069394021,73.83828996282529,64.50410141685309,0.713135697209717,0.5922014432035358,0.0001
10,0.6881550054263227,0.9234023098612115,75.18587360594796,65.92095451155853,0.7255001115498118,0.6017492838510001,0.0001
11,0.6502112206902535,0.9562252172756762,75.51115241635688,64.05667412378821,0.7277331706209536,0.5935952439500305,0.0001
12,0.6205223962996972,0.9555206273992857,76.2546468401487,64.28038777032066,0.7267344095568345,0.6170645016766703,0.0001
13,0.6070899820045246,0.9800902558934121,77.27695167286245,64.13124533929903,0.7494249535070818,0.5980593123563585,0.0001
14,0.5700400766525349,0.9205352510547354,79.46096654275092,64.87695749440716,0.7639285574147213,0.6351024200881692,0.0001
15,0.5606419984251261,0.9683835223494541,79.6003717472119,64.50410141685309,0.7753229062102278,0.625588937618633,0.0001
16,0.5209911786691462,0.9262990301829719,81.87732342007435,64.35495898583147,0.7972556873762691,0.613271846580755,0.0001
17,0.5134230831561811,0.9169978631571645,81.36617100371747,64.42953020134229,0.7906509626158994,0.6344733393998416,0.0001
18,0.5023047977220614,0.9511930472439244,81.22676579925651,64.72781506338553,0.7890374506243862,0.6358527950547953,0.0001
19,0.4736265186739732,0.9655994901522285,82.62081784386618,64.50410141685309,0.8001620518343822,0.5922633398217002,0.0001
20,0.4726216511378501,1.0606186809461742,83.08550185873607,61.96868008948546,0.8045731258318933,0.5969716521850668,0.0001
21,0.4609985511029852,0.9537559042551688,83.22490706319702,64.65324384787472,0.813145042610443,0.6368888381772022,0.0001
22,0.40061423256404727,0.8564346944913268,86.15241635687732,67.63609246830724,0.839042760591385,0.6571227637045864,1e-05
23,0.36609621805772463,0.8856960090675524,87.63940520446097,67.63609246830724,0.8560472675752329,0.6657107436358948,1e-05
24,0.3613693387728863,0.9002795756927559,88.47583643122677,66.51752423564504,0.8697139028386138,0.6510665134238184,1e-05
25,0.34570512829043776,0.8904557090607428,89.07992565055763,66.07009694258016,0.8767312973677364,0.6396481883114258,1e-05
