epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1score,val_f1score,LR
0,1.99219591477338,1.9055565255028861,18.262081784386616,21.625652498135718,0.11791705951530418,0.14015173270716608,0.0001
1,1.3789050140801598,1.2969903066044761,50.46468401486989,51.7524235645041,0.44322714705487976,0.46607520843154143,0.0001
2,0.6672304627649924,1.23738941408339,76.2546468401487,58.165548098434,0.7448525728633555,0.5648170080919312,0.0001
3,0.30286261548890786,1.0347752542722792,89.96282527881041,64.28038777032066,0.9003117680162821,0.6471097292672525,0.0001
4,0.12103931364767692,1.6789671182632446,96.18959107806691,54.13870246085011,0.9611551162322037,0.5493441135098138,0.0001
5,0.11062890236430309,1.4752958445321946,96.6542750929368,61.74496644295302,0.9690579863640559,0.6189749829885074,0.0001
6,0.10464587498127538,1.3016630751746041,96.74721189591078,65.62266964951529,0.971444725081693,0.6658016319394651,0.0001
7,0.09596827203709193,1.4615255792935689,97.21189591078067,63.53467561521253,0.9749269984901996,0.6416654489266866,0.0001
8,0.037799730369656837,1.3490078420866103,99.02416356877323,65.84638329604772,0.9913634677478121,0.6631229311869555,5e-05
9,0.016828638795927605,1.2817740326835996,99.72118959107807,67.93437733035049,0.9975864382480557,0.6832840613676825,5e-05
10,0.013504255741067669,1.362988531589508,99.72118959107807,66.66666666666667,0.9975987774426482,0.670831887821953,5e-05
11,0.009560359612805769,1.377398865563529,99.86059479553903,67.93437733035049,0.9986823921710202,0.6838592172626525,5e-05
12,0.008354736231815289,1.4429023606436593,99.86059479553903,66.66666666666667,0.9982275494900742,0.6746984626099617,2.5e-05
13,0.007394340768394827,1.3956739192917234,99.90706319702602,67.48695003728561,0.9992581279587858,0.6816806087865487,2.5e-05
14,0.004310740855597781,1.4132401063328697,99.95353159851301,66.96495152870992,0.9996575695400844,0.6762771833287367,2.5e-05
15,0.003275887432905352,1.4291600017320543,100.0,66.96495152870992,1.0,0.676226487819159,2.5e-05
16,0.004195719201508088,1.4090298499379839,99.90706319702602,66.96495152870992,0.9991800653700933,0.6764690067229946,1.25e-05
17,0.004989907029512859,1.4422484806605749,99.95353159851301,67.93437733035049,0.9995949512800554,0.684738255971866,1.25e-05
18,0.007236202257712755,1.4031202111925398,99.95353159851301,67.33780760626398,0.9995781797281571,0.6813024591088047,1.25e-05
19,0.003167565659061759,1.4154041210810344,99.95353159851301,67.48695003728561,0.9996289436973748,0.682476175701675,1.25e-05
